<검색방법>
 종목코드 | A | B | C | D | E | F | G | H | I | 결과1 | 결과2 |
Search kospi: 
 code:900050 | O | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:000020 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000030 | X | X | O | O | O | O | X | X | 5 | ........ | ........ |
 code:000040 | X | O | X | X | X | X | X | X | 5 | ........ | ........ |
 code:000050 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000060 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000070 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000075 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000080 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000087 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000100 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000105 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000120 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000140 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000145 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000150 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000155 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000157 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000180 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000210 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000215 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000220 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000225 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000227 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000230 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000240 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000270 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000300 | X | O | X | X | X | X | X | X | 5 | ........ | ........ |
 code:000320 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000325 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000327 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000370 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000390 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000400 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000430 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000480 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000490 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000500 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000520 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000540 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000545 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000547 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000590 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000640 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000650 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000660 | X | O | O | O | O | O | X | X | 5 | ........ | ........ |
 code:000670 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000680 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000700 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000720 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000725 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000760 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000810 | X | X | O | O | O | O | X | X | 5 | ........ | ........ |
 code:000815 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000850 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000860 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000880 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000885 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000890 | X | O | X | X | X | X | X | X | 5 | ........ | ........ |
 code:000910 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000950 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000970 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000990 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000995 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001020 | X | O | X | X | X | X | X | X | 5 | ........ | ........ |
 code:001040 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:001045 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001060 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:001065 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001067 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001070 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001080 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001120 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:001130 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001140 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:001200 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001210 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001230 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001250 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001260 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001270 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001275 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001290 | X | O | X | X | X | X | X | X | 5 | ........ | ........ |
 code:001340 | X | O | X | X | X | X | X | X | 5 | ........ | ........ |
 code:001360 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001380 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001390 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001420 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001430 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001440 | O | O | X | X | X | X | X | X | 5 | ........ | ........ |
 code:001450 | X | O | O | O | O | O | X | X | 5 | ........ | ........ |
 code:001460 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001465 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001470 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001500 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001510 | X | O | X | X | X | X | X | X | 5 | ........ | ........ |
 code:001515 | O | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:001520 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001525 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001527 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001529 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001530 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001550 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001560 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001570 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001620 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001630 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001680 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001685 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001689 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001720 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001725 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001740 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001745 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001750 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001755 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001770 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001780 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001790 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001795 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001799 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001800 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:001820 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001880 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001940 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002000 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
